year,land_use,percent,weighted_acres
1982,Urban,3.709994384166043,721277
1982,Crop,21.61977769362771,4203200
1982,Pasture,28.283223408450127,5498671
1982,Forest,21.20656279997107,4122865
1982,Other,2.077498508599509,403896
1987,Urban,4.019899124849586,781527
1987,Crop,21.605396056201133,4200404
1987,Pasture,27.796330913041604,5404012
1987,Forest,21.308936809163182,4142768
1987,Other,2.0902753281158235,406380
1992,Urban,4.392633515449304,853992
1992,Crop,21.402021391605505,4160865
1992,Pasture,27.50965488287967,5348278
1992,Forest,21.310721654723633,4143115
1992,Other,2.1011592854815726,408496
1997,Urban,4.942551119365636,960904
1997,Crop,21.044229295971526,4091305
1997,Pasture,27.192204411829607,5286561
1997,Forest,21.37940991874169,4156469
1997,Other,2.1231843825704844,412778
2000,Urban,5.242045118221072,1019130
2000,Crop,20.795400221526595,4042929
2000,Pasture,27.057528298546334,5260378
2000,Forest,21.39213530178652,4158943
2000,Other,2.114213861943893,411034
2001,Urban,5.324842406366848,1035227
2001,Crop,20.582494378765215,4001537
2001,Pasture,27.177020365447902,5283609
2001,Forest,21.382177200907464,4157007
2001,Other,2.1178761387134646,411746
2002,Urban,5.3946982782875645,1048808
2002,Crop,20.53555859853721,3992412
2002,Pasture,27.13166882854156,5274792
2002,Forest,21.39157464424736,4158834
2002,Other,2.119923310278478,412144
2003,Urban,5.462285801815893,1061948
2003,Crop,20.44444403295267,3974698
2003,Pasture,27.11104280347698,5270782
2003,Forest,21.404135430583445,4161276
2003,Other,2.1287703833735105,413864
2004,Urban,5.52319687134576,1073790
2004,Crop,20.33847975805107,3954097
2004,Pasture,27.135629436845733,5275562
2004,Forest,21.407833712883058,4161995
2004,Other,2.1404773242829833,416140
2005,Urban,5.582605995908332,1085340
2005,Crop,20.2953091275356,3945704
2005,Pasture,27.10542594079107,5269690
2005,Forest,21.394928302188035,4159486
2005,Other,2.1596425535574544,419866
2006,Urban,5.637848766280801,1096080
2006,Crop,20.242401572968447,3935418
2006,Pasture,27.087639208952336,5266232
2006,Forest,21.387598605001745,4158061
2006,Other,2.171061450226624,422086
2007,Urban,5.68918750846773,1106061
2007,Crop,20.128613810754317,3913296
2007,Pasture,27.13044978416742,5274555
2007,Forest,21.38259383632647,4157088
2007,Other,2.188729878180947,425521
2008,Urban,5.730285249182443,1114051
2008,Crop,20.04444316881995,3896932
2008,Pasture,27.156060003318682,5279534
2008,Forest,21.386487577217718,4157845
2008,Other,2.195735525596897,426883
2009,Urban,5.763796110353452,1120566
2009,Crop,19.975261114675657,3883482
2009,Pasture,27.17103316016731,5282445
2009,Forest,21.400241689692205,4160519
2009,Other,2.197211752328452,427170
2010,Urban,5.793120042745765,1126267
2010,Crop,19.919735443710035,3872687
2010,Pasture,27.180518045508727,5284289
2010,Forest,21.39596731891199,4159688
2010,Other,2.201841034761899,428070
2011,Urban,5.819717842149493,1131438
2011,Crop,19.87806675816186,3864586
2011,Pasture,27.17144465193917,5282525
2011,Forest,21.40925335949598,4162271
2011,Other,2.2086512235862146,429394
2012,Urban,5.847102619566907,1136762
2012,Crop,19.834119436927004,3856042
2012,Pasture,27.16147112011867,5280586
2012,Forest,21.417179719751473,4163812
2012,Other,2.2216800818127944,431927
2013,Urban,5.874533689808655,1142095
2013,Crop,19.829454148963517,3855135
2013,Pasture,27.123238390865538,5273153
2013,Forest,21.43048119127691,4166398
2013,Other,2.221767523814315,431944
2014,Urban,5.900848588619228,1147211
2014,Crop,19.81308192009056,3851952
2014,Pasture,27.085370860559944,5265791
2014,Forest,21.447007729564316,4169611
2014,Other,2.2286394364044093,433280
2015,Urban,5.924355056086843,1151781
2015,Crop,19.78688018151725,3846858
2015,Pasture,27.065773564925017,5261981
2015,Forest,21.46377087562054,4172870
2015,Other,2.231756486576264,433886
2016,Urban,5.951616385972698,1157081
2016,Crop,19.752109126794913,3840098
2016,Pasture,27.058330707501465,5260534
2016,Forest,21.46133793051941,4172397
2016,Other,2.240696145319965,435624
2017,Urban,5.982215942857783,1163030
2017,Crop,19.721998216388915,3834244
2017,Pasture,27.030272112307625,5255079
2017,Forest,21.473744407441046,4174809
2017,Other,2.253035754828676,438023
